codigo|codigo_intersectado
08500               |08600               
11100               |06675               
01800B              |15950               
10400               |16900A              
02400               |07100A              
16570A              |10200               
15500               |03600               
08275               |19300               
03600               |11700               
07225               |00775A              
06500B              |05400A              
07100B              |07600               
09700               |05275A              
18950               |07200               
13900               |07650               
16700               |004050              
05800A              |08900               
09200               |05300               
11600               |15100               
07400               |02900               
13400C              |13275               
08875B              |                    
08200               |12300               
19500C              |13675               
06450               |13700               
03200               |07900               
15500               |02000B              
00800               |13500A              
05300               |09600               
15300               |05000B              
06025               |05400A              
08100               |07450A              
05300               |07200               
08600               |01900B              
07850               |10300               
06200               |11500B              
15350               |06400               
11500A              |04600               
15950               |02000B              
03800               |11100               
05675               |10100               
05050E              |10700A              
13600B              |19700               
36600B              |40500               
33200               |40500               
06900A              |03600               
20300A              |05200B              
13900               |09000               
10900               |06000               
07350A              |06200               
39900               |37000               
10100               |02400               
34600B              |38900               
11800               |16300               
07250A              |13100               
06850               |10925               
11500A              |07200               
02900               |07400               
13500A              |11000               
02000B              |11700               
05000C              |09100               
15100               |12200               
05275C              |11300B              
00800               |12900A              
16900A              |11450B              
02800               |12900A              
13600A              |18300A              
06000               |15500               
12800               |18750               
02200               |12700               
13600B              |19950               
09100               |02800               
04400               |06100B              
13500A              |10000               
02200               |11300A              
06200               |11900               
00700               |08890A              
16300               |09000               
13600C              |20300B              
05800A              |10700B              
07675B              |11500A              
08800               |12900A              
07050               |10300               
04900B              |09400A              
07200               |12500               
05700C              |09250A              
09400B              |15500               
06800               |05300               
11600               |14750               
11600               |15700               
13200               |17700               
03000               |06900A              
09275               |15700               
05800A              |03900               
14500B              |07000               
08200               |06500B              
40300B              |35800               
17700               |05050H              
14900               |05050E              
03700               |08000               
41500               |35400B              
06800               |18950               
33400               |41100               
08000               |14500B              
39900               |38000C              
12650               |17700               
12500               |08275               
05275A              |14700               
14900               |04400               
06850               |12900A              
06800               |07300B              
12600               |19300               
08200               |03700               
05200A              |05500A              
08500               |07000               
04800A              |06300A              
01625               |09175               
11600               |20100               
05850A              |14700               
04600               |12500               
15900               |08000               
08000               |16700               
12300               |01200               
08300               |04000               
20100               |13800B              
02400               |10100               
11700               |02200               
03600               |15300               
14100B              |11675A              
04000               |05900C              
08500               |04800B              
14700               |00600               
07450A              |07300B              
04200               |06100A              
16100               |01600               
09000               |07900               
03000               |12100               
13300               |04400               
39600               |34700               
14300               |08000               
03800               |06500A              
05300               |09250A              
08400               |03900               
12500               |06400               
02200               |12300               
10100               |05050C              
08700               |07200               
11300A              |08000               
18300A              |10000               
10000               |15100               
17700               |06400               
07600               |12900A              
16550A              |09050               
03800               |14150               
02450               |14150               
07600               |02300               
04000               |09900A              
12200               |18900               
14100B              |03800               
08700               |04600               
13230               |15500               
13400B              |18900               
08500               |06250               
16700               |08400               
04700               |06400               
07400               |05700C              
09100               |06800               
02000B              |15300               
16900D              |13000               
10800               |16900A              
09200               |04300               
13950               |06800               
11000               |15700               
05600A              |10300               
40900               |32800               
12900B              |08475               
06400               |04500               
07600               |13500A              
20500A              |05400B              
14700               |03000               
07100B              |07450A              
04750               |05000B              
20150               |                    
12300               |03800               
10600               |19700               
09500               |02200               
11700               |08200               
06050               |09700               
08400               |20700B              
06700B              |05400A              
08100               |06850               
13300               |08475               
10500               |06850               
01475               |13100               
06600A              |07500B              
08800               |03100               
09450               |05525               
03500               |08200               
15700               |12200               
04100               |05000E              
05000B              |13100               
                    |38700               
14500B              |08600               
05125               |04600               
14100B              |05400A              
14750               |12200               
04400               |05500A              
10000               |15700               
09300               |04000               
08200               |14300               
11900               |06800               
01600               |14900               
25200P              |25500P              
05700C              |07200               
41500               |33400               
04025               |14700               
03000               |10700A              
18900               |14270               
36200               |35700B              
10100               |07050               
14700               |01800B              
06900B              |06200               
35500               |36200               
03800               |10900               
14900               |08475               
08200               |15900               
01600               |13300               
37900               |34600B              
12200               |17500               
18500B              |05200A              
07100A              |05000B              
05200A              |06100A              
15700               |02600               
08275               |13100               
07000               |14900               
01700A              |08600               
05800A              |04300               
18100B              |08275               
11100               |07000               
10300               |06600A              
32200B              |41300               
32850               |40300A              
00975               |06425               
06100B              |03000               
08275C              |03700               
05275A              |09300               
39000G              |34725A              
05800A              |07300B              
35800               |39100               
38000C              |39900               
07775               |08475               
13100               |08000               
15950               |12400               
07000               |13300               
15700               |10600               
05675               |15700               
14700               |11600               
11900               |07800               
03500               |07400               
15500               |12400               
