CODIGO|ALTURADESDE|ALTURAHASTA
14350 | 0500| 0599
14400 | 9300| 9699
14500A| 0001| 0990
14500B| 1000| 4099
14500C| 4100| 5999
14550A| 0600| 0699
14550B| 3000| 3099
14600 | 9300| 9699
14700 | 0001| 6699
14725 | 4600| 4899
14750 | 5600| 6099
14800 | 9400| 9699
14900 | 0001| 6149
14925 | 4700| 4999
14950 | 3000| 3099
14950 | 3500| 3599
14950 | 4200| 4299
14950 | 5200| 5299
15000 | 9400| 9699
15100 | 0001| 6799
15125 | 4100| 4399
15300 | 0010| 6499
15350 | 3000| 3199
15500 | 0001| 6899
15550 | 1200| 1299
15550 | 2400| 2499
15700 | 0010| 6899
15750 | 5400| 5599
15750A| 4800| 4999
15900 | 0001| 7199
15950 | 0299| 1099
15950 | 5300| 5399
15950 | 5800| 6399
16100 | 0100| 6399
16150 | 0600| 0699
16150 | 3000| 3199
16300 | 0100| 6399
16330 | 2300| 2599
16330 | 3000| 3199
16330 | 4600| 4799
16500 | 2300| 2599
16500 | 3200| 7199
16530A| 4600| 4699
16530A| 4800| 5099
16530B| 6000| 6399
16550A| 5675| 5799
16550B| 5800| 6489
16570A| 4800| 5099
16570B| 5800| 5899
16570B| 6100| 6499
16700 | 2300| 2599
16700 | 2900| 7099
16730 | 2350| 2599
16730 | 3600| 3799
16730 | 4300| 4399
16730 | 4800| 5099
16750 | 2300| 2499
16750 | 5900| 5999
16770 | 3600| 3799
16770 | 4300| 4399
16770 | 4820| 5099
16900A| 2700| 2999
16900A| 3700| 5499
16900D| 5900| 6899
16925 | 5900| 6199
16930 | 3700| 3799
16930 | 4700| 5099
16970 | 3700| 3799
16970 | 4700| 5099
17100 | 2700| 2999
17100 | 3450| 3599
17100 | 3700| 6899
17125 | 6000| 6499
17175 | 6400| 6999
17300A| 4100| 6299
17300B| 6200| 6799
17350 | 4500| 4699
17350 | 4800| 4999
17370 | 4800| 4899
17500 | 1600| 2199
17500 | 2300| 2699
17500 | 4300| 6899
17530 | 4800| 4899
17550 | 2100| 2199
17700 | 2100| 2199
17700 | 2400| 6899
17750A| 1100| 5499
17750B| 5600| 6499
17770 | 5200| 5699
17900A| 4500| 5699
17900B| 6300| 6949
18100A| 2700| 3199
18100A| 6300| 6999
18100B| 4500| 6799
18150A| 2400| 2470
18150A| 2500| 2599
18150B| 5100| 5599
18175 | 8700| 10699
18300 | 2400| 2699
18300A| 2700| 3199
18300A| 4500| 5350
18300A| 5700| 7199
18300B| 5100| 5799
18350 | 9200| 9299
18500A| 2700| 3199
18500A| 5800| 7299
18500B| 2300| 2699
36975 | 0001| 9999
18550 | 6000| 7399
18700 | 4700| 5099
18700 | 5600| 7099
18750 | 5900| 7499
18770 | 5600| 5899
18770 | 6300| 7499
18900 | 2700| 3499
18900 | 4500| 7599
18930 | 2400| 2599
18950 | 2300| 3499
18950 | 5600| 7599
19100A| 2700| 5999
19100B| 2400| 7599
19150 | 3300| 3499
19150 | 5300| 5999
19150 | 6200| 6299
19150 | 6500| 6599
19150 | 7200| 7499
19300 | 3300| 3499
19300 | 4500| 4599
19300 | 5000| 7499
19350 | 5300| 5999
19350 | 6500| 7499
19500A| 1000| 5599
19500B| 5500| 5999
19500C| 6000| 7499
19700 | 6500| 6899
19750 | 5900| 6099
19750 | 6500| 6899
19900 | 4400| 4750
19900 | 5500| 6099
19900 | 6600| 6899
19950 | 6600| 6899
20100 | 4400| 4799
20100 | 5100| 6999
20130 | 3200| 3499
20150 | 2700| 2899
20150 | 3000| 3499
20150 | 5700| 5799
20150 | 5900| 6099
20150 | 6500| 6899
20300A| 2100| 2899
20300B| 3000| 3499
20300B| 5500| 7999
20350 | 5900| 5999
20500A| 2400| 2899
20500B| 3000| 3899
20500B| 5400| 5450
20500B| 5700| 6099
20500C| 6400| 7999
20700A| 2400| 2899
20700B| 3000| 3599
20700B| 5400| 5499
20700B| 5700| 6099
20700C| 6100| 7599
20750 | 5400| 5499
20900A| 2400| 2899
20900B| 5400| 5899
20950 | 5400| 5499
21100 | 0001| 6099
55000 | 0500| 0899
55100 | 3950| 3999
18700 | 1800| 2400
25100P| 3900| 4199
04650 | 9400| 9499
25300P| 4000| 4169
25320P| 4000| 4199
04650 | 8200| 8470
04830 | 9400| 9599
04870A| 9400| 9599
04880 | 9300| 9399
25500P| 3900| 4199
25000P| 1000| 1199
25020P| 1000| 1199
25050P| 1000| 1199
25070P| 1000| 1199
25200P| 1000| 1199
25220P| 1000| 1099
25250P| 1130| 1199
25250P| 1000| 1099
25270P| 1150| 1199
25270P| 1000| 1099
25400P| 1000| 1199
25420P| 1100| 1199
25420P| 1000| 1099
25450P| 1000| 1199
25600P| 1000| 1199
02475 | 8200| 10500
12800 | 10100| 10499
12650 | 10100| 10299
13200 | 10100| 10499
13050B| 10100| 10499
13000 | 10100| 10499
12600 | 10100| 10299
12450 | 10100| 10200
12400 | 10100| 10200
13230 | 10100| 10400
18900 | 1800| 2299
35550A| 0001| 9999
20550 | 5400| 5499
09600 | 10400| 10699
34800 | 0001| 9999
41500 | 0001| 9999
35000A| 0001| 9999
35050 | 0001| 9999
20700B| 4700| 4799
20550 | 4700| 4799
20750 | 4700| 4799
35200 | 0001| 9999
20900B| 4700| 4799
35250 | 0001| 9999
35400A| 0001| 9999
35600 | 0001| 9999
35800 | 0001| 9999
35450 | 0001| 9999
35650 | 0001| 9999
34850 | 0001| 9999
35850 | 0001| 9999
36050A| 0001| 9999
36200 | 0001| 9999
36250 | 0001| 9999
36400 | 0001| 9999
36600A| 0001| 9999
36800A| 0001| 9999
36850 | 0001| 9999
37000 | 0001| 13199
37050 | 0001| 9999
37200 | 0001| 9999
37225 | 0001| 9999
37400 | 0001| 13199
37600A| 0001| 9999
37625 | 0001| 9999
37675 | 0001| 9999
37800 | 0001| 9999
37825 | 0001| 9999
37875 | 0001| 9999
38000A| 0001| 9999
38200A| 0001| 9999
39000A| 0001| 9999
39200A| 0001| 9999
35725 | 0001| 9999
32375 | 0001| 9999
33100 | 0001| 9999
34600B| 0001| 9999
33300 | 0001| 9999
35000B| 0001| 9999
33500 | 0001| 9999
33700 | 0001| 9999
34100 | 0001| 9999
34300 | 0001| 9999
34525 | 0001| 9999
34725A| 0001| 9999
35125 | 0001| 9999
35300 | 0001| 9999
35500 | 0001| 9999
35525 | 0001| 9999
35400B| 0001| 9999
35325 | 0001| 9999
35700B| 0001| 9999
35900A| 0001| 9999
36600B| 0001| 9999
36800B| 0001| 9999
38000B| 0001| 9999
35950 | 0001| 9999
38000C| 0001| 9999
38200B| 0001| 9999
38200C| 0001| 9999
38400B| 0001| 9999
38600B| 0001| 9999
38800B| 0001| 9999
39000B| 0001| 9999
39200B| 0001| 9999
32200A| 0001| 9999
35900B| 0001| 9999
32400A| 0001| 9999
32600A| 0001| 9999
35700A| 0001| 9999
35700C| 0001| 9999
36100A| 0001| 9999
36100B| 0001| 9999
36300 | 0001| 9999
36500 | 0001| 9999
36050B| 0001| 9999
36700 | 0001| 9999
